timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1538518169920,2322,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,871,0,75
1538518170096,2358,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,998,0,67
1538518170585,2140,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,719,0,77
1538518170735,2162,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,723,0,65
1538518170415,2604,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,897,0,65
1538518171069,2963,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,764,0,259
1538518172169,2250,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,722,0,53
1538518172035,2407,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,861,0,53
1538518172125,2418,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1023,0,37
1538518172726,1923,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,726,0,40
1538518172243,2485,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,875,0,58
1538518172454,2277,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,1010,0,41
1538518172089,2734,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,1183,0,50
1538518172899,2206,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,708,0,40
1538518173021,2519,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,646,0,41
1538518174034,2675,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,650,0,34
1538518174649,2066,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,949,0,37
1538518174421,2324,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,838,0,44
1538518174443,2369,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,1097,0,45
1538518174545,2376,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,781,0,38
1538518174733,2221,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,1016,0,41
1538518174730,2225,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,925,0,32
1538518174825,2203,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,1029,0,45
1538518175106,2210,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,889,0,37
1538518175541,2861,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,732,0,36
1538518176722,2249,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,929,0,38
1538518176813,2240,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,958,0,44
1538518176956,2167,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,1100,0,70
1538518176746,2402,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,1109,0,66
1538518176710,2467,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,985,0,85
1538518177029,2217,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,915,0,43
1538518176921,2336,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1032,0,82
1538518177316,2600,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,891,0,47
1538518176956,2985,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,1109,0,71
1538518178401,3021,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,684,0,35
1538518179053,2421,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,785,0,41
1538518179246,2238,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,843,0,41
1538518179147,2370,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,928,0,56
1538518179123,2451,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,1126,0,46
1538518179177,2399,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,887,0,53
1538518178971,2617,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,783,0,46
1538518179257,2336,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1022,0,44
1538518179916,1962,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,650,0,43
1538518179941,3075,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,746,0,52
1538518181475,2015,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,860,0,39
1538518181575,2280,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,1116,0,37
1538518181594,2262,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,944,0,40
1538518181589,2321,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,710,0,40
1538518181577,2354,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,1023,0,48
1538518181423,2546,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,1047,0,42
1538518181879,2136,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,848,0,40
1538518181517,2563,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,1176,0,46
1538518181485,2642,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,1242,0,44
1538518183018,2596,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,506,0,33
1538518183857,2088,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,824,0,51
1538518183491,2532,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,808,0,53
1538518183858,2238,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1128,0,53
1538518183932,2188,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,1027,0,47
1538518183970,2182,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,987,0,37
1538518183912,2258,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,777,0,43
1538518184017,2186,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,1009,0,49
1538518184082,2149,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,826,0,46
1538518184129,2564,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,1048,0,35
1538518185614,2455,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,855,0,34
1538518185945,2303,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,1194,0,43
1538518186097,2164,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,1071,0,52
1538518186121,2297,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,1113,0,52
1538518186231,2189,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,995,0,39
1538518186152,2319,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,1075,0,42
1538518186171,2306,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,1049,0,32
1538518186023,2478,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,921,0,41
1538518186203,2792,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,1142,0,41
1538518186694,3213,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,896,0,51
1538518188477,2021,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,926,0,55
1538518188419,2116,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,697,0,46
1538518188501,2138,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,980,0,38
1538518188069,2629,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,726,0,39
1538518188248,2488,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,1023,0,47
1538518188261,2604,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,937,0,44
1538518188471,2461,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,978,0,52
1538518188418,2531,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,1063,0,44
1538518188995,2856,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,755,0,40
1538518189907,2532,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,527,0,29
1538518190499,2267,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,589,0,47
1538518190640,2141,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,730,0,37
1538518190699,2124,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,839,0,42
1538518190866,2006,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,851,0,38
1538518190736,2172,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,949,0,43
1538518190536,2608,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,1030,0,47
1538518190933,2539,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,821,0,40
1538518190950,3117,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,1050,0,48
1538518191851,2717,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,570,0,35
1538518192824,2161,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,659,0,48
1538518192782,2268,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,572,0,43
